Hash ID,Add Item,Category,Name,Quality,Description
Items.Adidas_Shoes,"Game.AddToInventory(""Items.Adidas_Shoes"",1)",Unused,,,
Items.Alcohol,"Game.AddToInventory(""Items.Alcohol"",1)",Unused,,,
Items.AnimalsBerserkFragment1,"Game.AddToInventory(""Items.AnimalsBerserkFragment1"",1)",Mod - Cyberware,Beast Mode,Legendary,"While Berserk is active Armor, Resistance, health +15%, Melee damage 100%"
Items.AnimalsJewellery,"Game.AddToInventory(""Items.AnimalsJewellery"",1)",Junk,Bottle cap on a string,,
Items.AnimalsJewellery1,"Game.AddToInventory(""Items.AnimalsJewellery1"",1)",Junk,Syn-Fang Necklace,,
Items.AnimalsJewellery2,"Game.AddToInventory(""Items.AnimalsJewellery2"",1)",Junk,Leather Bracelete,,
Items.AnimalsJewellery3,"Game.AddToInventory(""Items.AnimalsJewellery3"",1)",Junk,Studded Chocker,,
Items.AnimalsJunkItem1,"Game.AddToInventory(""Items.AnimalsJunkItem1"",1)",Junk,Broken Metal Fangs,,
Items.AnimalsJunkItem2,"Game.AddToInventory(""Items.AnimalsJunkItem2"",1)",Junk,Grappling Gloves,,
Items.AnimalsJunkItem3,"Game.AddToInventory(""Items.AnimalsJunkItem3"",1)",Junk,Jaguar Patch,,
Items.AnimalsStrongArmsBattery1,"Game.AddToInventory(""Items.AnimalsStrongArmsBattery1"",1)",Mod - Cyberware,Black Market Battery,Legendary,Max Charge & Charge damage 100%
Items.AnimalsStrongArmsKnuckles1,"Game.AddToInventory(""Items.AnimalsStrongArmsKnuckles1"",1)",Mod - Cyberware,Animal Knuckles,Legendary,Causes Internal Bleeding on successful hits.
Items.AntiVirus,"Game.AddToInventory(""Items.AntiVirus"",1)",Cyberware - Frontal Cortex,Self-ICE,Rare,Negates Effectts of enemy quickhacks. Cooldown 45 Sec.
Items.ArasakaEpicMKIII,"Game.AddToInventory(""Items.ArasakaEpicMKIII"",1)",Cyberware - OS: Cyberdeck,Araska MRK.3,Epic,
Items.ArasakaLegendaryMKIV,"Game.AddToInventory(""Items.ArasakaLegendaryMKIV"",1)",Cyberware - OS: Cyberdeck,Araska MRK.4,Legendary,
Items.ArasakaMeleeWeaponMod,"Game.AddToInventory(""Items.ArasakaMeleeWeaponMod"",1)",Mod - Melee,Kunai - Rare,Rare,Increases weapon attack speed by 0.3
Items.ArasakaSandevistanFragment1,"Game.AddToInventory(""Items.ArasakaSandevistanFragment1"",1)",Mod - Cyberware,Sandevistan: Araska Sofware,Legendary,Enemies take 70% more time to notice you while Sandevistan is active
Items.ArmsCyberwarePartBase,"Game.AddToInventory(""Items.ArmsCyberwarePartBase"",1)",Unused,,,
Items.ArmsCyberwareSharedFragment1,"Game.AddToInventory(""Items.ArmsCyberwareSharedFragment1"",1)",Mod - Cyberware,Sensory Amplifer,Rare,Increases Crit Chance by 10%
Items.ArmsCyberwareSharedFragment2,"Game.AddToInventory(""Items.ArmsCyberwareSharedFragment2"",1)",Mod - Cyberware,Sensory Amplifer,Rare,Increases Crit Chance by 30%
